"07/30/25 17:05:07","I-70_Wed_July_30_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/30/2025   10:00:00 AM","7/30/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","33","1.6","68.3","78.0","0","11","11","11","--","--","--","--","27.3","26.8","07/30/25 10:00:00","900","0","1","0","0","0","1","0","0","5","3","7","7","7","1","1","33","0"
"LANE_02","10","0.4","83.5","88.0","0","5","2","3","--","--","--","--","90.0","89.7","07/30/25 10:00:00","900","0","0","0","0","0","0","0","0","0","0","0","3","4","2","1","10","0"

"LANE_01","33","1.8","71.2","82.0","0","8","9","16","--","--","--","--","27.3","26.8","07/30/25 10:15:00","900","0","0","0","0","0","0","0","2","3","4","8","5","7","3","1","33","0"
"LANE_02","8","0.3","76.9","84.0","0","4","1","3","--","--","--","--","112.5","112.1","07/30/25 10:15:00","900","0","0","0","0","0","0","0","0","0","0","1","3","3","0","1","8","0"

"LANE_01","27","1.3","78.0","86.0","0","13","5","9","--","--","--","--","33.3","32.9","07/30/25 10:30:00","900","0","0","0","0","0","0","0","0","2","3","1","3","13","3","2","27","0"
"LANE_02","4","0.1","77.8","79.0","0","1","2","1","--","--","--","--","225.0","224.7","07/30/25 10:30:00","900","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","4","0"

"LANE_01","36","1.6","73.0","83.0","0","19","8","9","--","--","--","--","25.0","24.6","07/30/25 10:45:00","900","0","0","0","0","1","1","0","0","2","3","5","6","13","5","0","36","0"
"LANE_02","12","0.3","86.3","91.0","0","8","3","1","--","--","--","--","75.0","74.8","07/30/25 10:45:00","900","0","0","0","0","0","0","0","0","0","0","0","1","4","3","4","12","0"

"LANE_01","39","1.9","70.4","80.0","0","12","11","16","--","--","--","--","23.1","22.6","07/30/25 11:00:00","900","0","0","0","0","0","1","0","0","4","6","7","8","10","2","1","39","0"
"LANE_02","12","0.4","79.2","86.0","0","8","2","2","--","--","--","--","75.0","74.7","07/30/25 11:00:00","900","0","0","0","0","0","0","0","0","0","0","2","2","5","1","2","12","0"

"LANE_01","45","2.3","72.5","81.7","0","21","6","18","--","--","--","--","20.0","19.5","07/30/25 11:15:00","900","0","0","0","0","0","0","1","0","4","6","7","6","18","3","0","45","0"
"LANE_02","14","0.3","83.6","94.0","0","10","4","0","--","--","--","--","64.3","64.1","07/30/25 11:15:00","900","0","0","0","0","0","0","0","0","0","1","0","2","7","0","4","14","0"

"LANE_01","38","2.4","70.2","80.0","0","12","7","19","--","--","--","--","23.7","23.1","07/30/25 11:30:00","900","0","0","0","0","0","0","1","0","4","6","8","6","12","1","0","38","0"
"LANE_02","14","0.5","83.8","91.0","0","9","3","2","--","--","--","--","64.3","64.0","07/30/25 11:30:00","900","0","0","0","0","0","0","0","0","0","0","1","1","5","4","3","14","0"

"LANE_01","41","2.2","69.0","80.5","1","21","4","15","--","--","--","--","22.0","21.5","07/30/25 11:45:00","900","1","0","0","0","0","0","0","2","3","8","7","3","17","0","0","41","0"
"LANE_02","11","0.3","83.1","87.0","0","6","2","3","--","--","--","--","81.8","81.6","07/30/25 11:45:00","900","0","0","0","0","0","0","0","0","0","0","0","0","5","6","0","11","0"

