"07/07/25 17:07:56","SR-12_Boxculvert_Mon_July_7","SS125 U100000000","T3","SR-36 MP-50.620","7/7/2025   1:00:00 PM","7/7/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_01","51","2.5","43.4","53.0","1","34","11","5","--","--","--","--","17.6","17.2","07/07/25 13:00:00","900","0","2","3","4","4","9","18","9","2","0","0","0","0","0","0","51","0"
"LANE_02","35","1.6","49.6","58.0","0","24","7","4","--","--","--","--","25.7","25.3","07/07/25 13:00:00","900","0","0","0","0","0","13","7","4","8","2","1","0","0","0","0","35","0"

"LANE_01","39","2.4","34.9","45.0","0","24","13","2","--","--","--","--","23.1","22.5","07/07/25 13:15:00","900","0","4","7","10","8","4","3","2","1","0","0","0","0","0","0","39","0"
"LANE_02","41","1.5","50.5","56.0","0","32","7","2","--","--","--","--","22.0","21.6","07/07/25 13:15:00","900","0","0","0","0","0","7","11","12","11","0","0","0","0","0","0","41","0"

"LANE_01","47","2.8","39.1","48.0","0","34","6","7","--","--","--","--","19.2","18.6","07/07/25 13:30:00","900","0","4","7","7","5","11","7","3","3","0","0","0","0","0","0","47","0"
"LANE_02","35","1.3","51.5","57.5","0","24","8","3","--","--","--","--","25.7","25.4","07/07/25 13:30:00","900","0","0","0","0","0","2","14","12","4","2","1","0","0","0","0","35","0"

"LANE_01","42","2.2","39.3","51.3","1","33","6","2","--","--","--","--","21.4","21.0","07/07/25 13:45:00","900","1","2","5","7","6","3","10","6","2","0","0","0","0","0","0","42","0"
"LANE_02","43","1.8","48.2","56.8","0","33","6","4","--","--","--","--","20.9","20.5","07/07/25 13:45:00","900","0","0","3","2","3","1","16","9","5","4","0","0","0","0","0","43","0"

"LANE_01","37","2.0","39.8","51.5","0","29","7","1","--","--","--","--","24.3","23.8","07/07/25 14:00:00","900","0","5","1","8","5","9","2","4","2","0","1","0","0","0","0","37","0"
"LANE_02","40","1.7","51.5","59.7","3","25","10","2","--","--","--","--","22.5","22.1","07/07/25 14:00:00","900","1","2","0","1","1","0","10","7","13","4","1","0","0","0","0","40","0"

"LANE_01","41","1.8","45.7","53.3","0","28","10","3","--","--","--","--","22.0","21.6","07/07/25 14:15:00","900","0","0","0","4","7","6","10","11","3","0","0","0","0","0","0","41","0"
"LANE_02","33","1.2","55.3","59.8","0","25","3","5","--","--","--","--","27.3","26.9","07/07/25 14:15:00","900","0","0","0","0","0","1","5","13","10","2","1","0","1","0","0","33","0"

"LANE_01","27","1.4","41.8","53.5","0","20","6","1","--","--","--","--","33.3","32.9","07/07/25 14:30:00","900","0","3","1","2","2","7","6","3","2","1","0","0","0","0","0","27","0"
"LANE_02","44","1.5","55.3","61.0","0","31","12","1","--","--","--","--","20.5","20.1","07/07/25 14:30:00","900","0","0","0","0","0","3","5","8","19","8","1","0","0","0","0","44","0"

"LANE_01","41","1.9","41.9","49.3","0","29","12","0","--","--","--","--","22.0","21.5","07/07/25 14:45:00","900","0","2","0","2","11","12","10","3","0","1","0","0","0","0","0","41","0"
"LANE_02","35","1.2","55.2","61.0","0","24","11","0","--","--","--","--","25.7","25.4","07/07/25 14:45:00","900","0","0","0","0","0","0","7","9","11","7","1","0","0","0","0","35","0"

"LANE_01","32","1.7","48.0","55.0","0","17","9","6","--","--","--","--","28.1","27.7","07/07/25 15:00:00","900","0","0","2","0","3","10","6","6","3","1","0","0","0","0","1","32","0"
"LANE_02","43","1.6","51.9","57.3","0","27","14","2","--","--","--","--","20.9","20.6","07/07/25 15:00:00","900","0","0","0","0","0","5","12","14","10","1","1","0","0","0","0","43","0"

"LANE_01","39","1.9","43.8","54.0","2","26","9","2","--","--","--","--","23.1","22.6","07/07/25 15:15:00","900","2","2","3","1","5","5","10","6","3","1","0","0","0","1","0","39","0"
"LANE_02","41","1.3","57.2","62.0","0","28","13","0","--","--","--","--","22.0","21.7","07/07/25 15:15:00","900","0","0","0","0","0","0","3","10","16","10","2","0","0","0","0","41","0"

"LANE_01","33","1.5","43.2","53.0","0","23","8","2","--","--","--","--","27.3","26.9","07/07/25 15:30:00","900","0","0","4","3","7","5","5","6","1","1","1","0","0","0","0","33","0"
"LANE_02","40","1.4","56.0","61.0","0","27","8","5","--","--","--","--","22.5","22.2","07/07/25 15:30:00","900","0","0","0","0","0","0","2","17","14","6","1","0","0","0","0","40","0"

"LANE_01","41","2.4","42.1","54.3","1","26","10","4","--","--","--","--","22.0","21.4","07/07/25 15:45:00","900","1","4","0","3","6","5","9","9","2","2","0","0","0","0","0","41","0"
"LANE_02","62","2.4","52.0","59.5","0","38","20","4","--","--","--","--","14.5","14.2","07/07/25 15:45:00","900","0","0","0","0","3","6","12","20","13","8","0","0","0","0","0","62","0"

"LANE_01","43","2.1","42.6","51.5","1","34","4","4","--","--","--","--","20.9","20.5","07/07/25 16:00:00","900","0","2","3","3","10","5","9","8","2","1","0","0","0","0","0","43","0"
"LANE_02","37","1.5","51.3","58.5","0","19","13","5","--","--","--","--","24.3","24.0","07/07/25 16:00:00","900","0","0","0","0","2","5","9","8","9","3","1","0","0","0","0","37","0"

"LANE_01","38","2.1","38.4","50.0","0","27","10","1","--","--","--","--","23.7","23.2","07/07/25 16:15:00","900","0","8","3","7","2","4","8","4","0","2","0","0","0","0","0","38","0"
"LANE_02","49","1.7","53.1","57.7","0","38","8","3","--","--","--","--","18.4","18.1","07/07/25 16:15:00","900","0","0","0","0","0","3","12","19","10","3","1","1","0","0","0","49","0"

"LANE_01","40","2.2","39.7","49.5","0","24","11","5","--","--","--","--","22.5","22.0","07/07/25 16:30:00","900","0","1","6","11","0","9","8","3","2","0","0","0","0","0","0","40","0"
"LANE_02","40","1.5","54.4","60.7","0","27","11","2","--","--","--","--","22.5","22.2","07/07/25 16:30:00","900","0","0","0","0","2","3","2","12","13","6","2","0","0","0","0","40","0"

"LANE_01","25","1.1","44.7","55.7","0","17","6","2","--","--","--","--","36.0","35.6","07/07/25 16:45:00","900","0","1","1","1","4","8","2","2","6","0","0","0","0","0","0","25","0"
"LANE_02","36","1.4","53.0","61.0","0","24","7","5","--","--","--","--","25.0","24.7","07/07/25 16:45:00","900","0","0","0","0","1","6","5","11","7","3","2","1","0","0","0","36","0"

"LANE_01","38","1.7","45.5","54.0","0","25","10","3","--","--","--","--","23.7","23.3","07/07/25 17:00:00","900","0","0","2","2","5","6","12","7","3","1","0","0","0","0","0","38","0"
