"07/16/25 17:21:11","US_6_Wed_July_16_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","7/16/2025   10:00:00 AM","7/16/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_02","82","3.4","65.0","72.3","0","45","16","9","10","2","--","--","11.0","10.6","07/16/25 13:45:00","900","0","0","0","0","0","0","3","10","8","14","21","19","7","0","0","82","0"

"LANE_01","47","2.1","67.6","74.0","0","26","6","4","4","7","--","--","19.1","18.8","07/16/25 14:00:00","900","0","0","0","0","0","0","1","1","4","13","8","13","7","0","0","47","0"
"LANE_02","83","3.5","66.3","72.6","0","48","12","5","14","4","--","--","10.8","10.5","07/16/25 14:00:00","900","0","0","0","0","0","1","1","1","9","22","26","20","1","1","1","83","0"

"LANE_01","70","3.3","65.8","73.0","0","32","17","3","10","8","--","--","12.9","12.4","07/16/25 14:15:00","900","0","0","0","0","0","0","1","1","10","24","15","12","7","0","0","70","0"
"LANE_02","54","2.2","70.4","76.8","0","25","12","8","8","1","--","--","16.7","16.3","07/16/25 14:15:00","900","0","0","0","0","0","0","0","0","1","11","16","15","8","2","1","54","0"

"LANE_01","68","3.1","66.4","75.3","0","34","13","4","9","8","--","--","13.2","12.8","07/16/25 14:30:00","900","0","0","0","0","0","0","0","7","10","13","12","15","9","1","1","68","0"
"LANE_02","52","2.1","67.8","73.0","0","29","9","5","7","2","--","--","17.3","16.9","07/16/25 14:30:00","900","0","0","0","0","0","0","0","0","4","10","18","19","1","0","0","52","0"

"LANE_01","54","2.3","68.0","74.0","0","26","14","3","5","6","--","--","16.7","16.3","07/16/25 14:45:00","900","0","0","0","0","0","0","0","0","7","7","19","16","3","2","0","54","0"
"LANE_02","71","3.1","67.8","74.0","0","35","10","12","7","7","--","--","12.7","12.3","07/16/25 14:45:00","900","0","0","0","0","0","0","0","3","4","16","20","20","5","3","0","71","0"

"LANE_01","74","3.3","67.8","74.0","0","37","13","10","6","8","--","--","12.2","11.8","07/16/25 15:00:00","900","0","0","0","0","0","0","0","3","11","9","19","21","9","2","0","74","0"
"LANE_02","69","2.9","68.9","74.0","0","39","9","7","9","5","--","--","13.0","12.7","07/16/25 15:00:00","900","0","0","0","0","0","0","0","0","2","12","23","26","6","0","0","69","0"

"LANE_01","62","2.8","68.9","75.7","0","30","14","4","6","8","--","--","14.5","14.1","07/16/25 15:15:00","900","0","0","0","0","0","0","0","2","4","14","15","16","8","1","2","62","0"
"LANE_02","68","3.0","67.2","73.3","1","35","10","6","11","5","--","--","13.2","12.8","07/16/25 15:15:00","900","0","0","0","0","0","0","0","1","3","18","28","13","5","0","0","68","0"

"LANE_01","73","2.8","69.4","75.7","1","36","20","2","7","7","--","--","12.3","12.0","07/16/25 15:30:00","900","0","0","0","0","0","0","0","1","2","13","26","18","11","2","0","73","0"
"LANE_02","67","2.9","66.9","73.0","0","36","10","6","12","3","--","--","13.4","13.0","07/16/25 15:30:00","900","0","0","0","0","0","0","0","3","9","14","20","14","4","1","2","67","0"

"LANE_01","79","3.5","69.7","75.8","0","44","10","6","7","12","--","--","11.4","11.0","07/16/25 15:45:00","900","0","0","0","0","0","0","0","0","3","9","30","22","13","2","0","79","0"
"LANE_02","81","3.1","66.5","73.4","0","48","16","6","10","1","--","--","11.1","10.8","07/16/25 15:45:00","900","0","0","0","0","0","1","1","3","4","24","22","20","5","1","0","81","0"

"LANE_01","39","2.3","67.1","75.5","0","14","5","3","7","10","--","--","23.1","22.5","07/16/25 16:00:00","900","0","0","0","0","0","0","1","2","6","5","9","9","5","1","1","39","0"
"LANE_02","69","3.0","63.0","71.7","0","37","13","5","14","0","--","--","13.0","12.6","07/16/25 16:00:00","900","0","0","0","0","0","0","7","4","13","17","13","9","3","3","0","69","0"

"LANE_01","46","2.3","72.7","78.1","0","18","12","5","4","7","--","--","19.6","19.1","07/16/25 16:15:00","900","0","0","0","0","0","0","0","0","0","5","8","16","16","1","0","46","0"
"LANE_02","66","3.3","64.2","70.3","0","33","9","4","14","6","--","--","13.6","13.2","07/16/25 16:15:00","900","0","0","0","0","0","0","0","2","14","20","19","11","0","0","0","66","0"

"LANE_01","61","2.6","73.6","79.6","0","28","13","4","6","10","--","--","14.8","14.4","07/16/25 16:30:00","900","0","0","0","0","0","0","0","0","0","2","15","20","17","5","2","61","0"
"LANE_02","56","2.5","66.8","72.0","0","28","13","1","13","1","--","--","16.1","15.7","07/16/25 16:30:00","900","0","0","0","0","0","0","0","0","4","19","19","8","6","0","0","56","0"

"LANE_01","58","2.6","69.9","77.0","0","30","10","3","6","9","--","--","15.5","15.1","07/16/25 16:45:00","900","0","0","0","0","0","0","0","0","2","12","19","13","8","4","0","58","0"
"LANE_02","60","2.8","65.7","72.3","0","28","11","7","11","3","--","--","15.0","14.6","07/16/25 16:45:00","900","0","0","0","0","0","0","0","4","7","18","16","9","6","0","0","60","0"

"LANE_01","57","2.7","68.9","75.5","0","30","9","2","5","11","--","--","15.8","15.4","07/16/25 17:00:00","900","0","0","0","0","0","0","0","1","3","11","19","13","4","6","0","57","0"
"LANE_02","59","2.7","66.4","71.3","0","34","9","1","10","5","--","--","15.3","14.8","07/16/25 17:00:00","900","0","0","0","0","0","0","2","0","1","20","22","10","4","0","0","59","0"

Total Bins:  28
