"08/01/25 17:05:17","I-70_Fri_Aug_1_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","8/1/2025   11:00:00 AM","8/1/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_02","17","0.5","81.5","90.0","0","9","7","1","--","--","--","--","52.9","52.7","08/01/25 14:30:00","900","0","0","0","0","0","0","0","0","0","0","1","3","6","4","3","17","0"

"LANE_01","49","2.6","74.4","85.6","0","18","13","18","--","--","--","--","18.4","17.9","08/01/25 14:45:00","900","0","0","0","0","0","0","0","1","4","7","4","7","15","10","1","49","0"
"LANE_02","20","0.6","78.4","86.5","0","17","2","1","--","--","--","--","45.0","44.8","08/01/25 14:45:00","900","0","0","0","0","0","0","0","1","0","2","1","4","6","5","1","20","0"

"LANE_01","58","2.5","75.0","85.5","0","25","20","13","--","--","--","--","15.5","15.1","08/01/25 15:00:00","900","0","0","0","0","0","0","1","4","5","4","1","8","25","3","7","58","0"
"LANE_02","11","0.3","75.1","85.5","0","5","5","1","--","--","--","--","81.8","81.5","08/01/25 15:00:00","900","0","0","0","0","0","0","0","0","2","1","1","0","4","3","0","11","0"

"LANE_01","47","2.5","70.9","82.5","0","13","16","18","--","--","--","--","19.2","18.7","08/01/25 15:15:00","900","0","0","0","0","0","0","0","2","4","7","9","9","13","2","1","47","0"
"LANE_02","18","0.6","79.0","85.3","0","15","2","1","--","--","--","--","50.0","49.7","08/01/25 15:15:00","900","0","0","0","0","0","0","0","0","0","1","1","3","9","4","0","18","0"

"LANE_01","57","2.9","72.8","84.7","0","16","17","24","--","--","--","--","15.8","15.3","08/01/25 15:30:00","900","0","1","0","0","1","2","1","1","4","1","9","9","21","3","4","57","0"
"LANE_02","27","0.8","74.3","83.0","0","20","4","3","--","--","--","--","33.3","33.1","08/01/25 15:30:00","900","0","0","0","0","0","0","0","1","1","1","3","7","10","4","0","27","0"

"LANE_01","57","2.8","71.9","84.0","0","19","17","21","--","--","--","--","15.8","15.4","08/01/25 15:45:00","900","0","0","0","0","1","1","0","0","9","5","12","5","16","3","5","57","0"
"LANE_02","27","0.7","78.8","89.5","0","17","8","2","--","--","--","--","33.3","33.1","08/01/25 15:45:00","900","0","0","0","0","0","0","0","0","0","1","5","4","10","4","3","27","0"

"LANE_01","43","1.6","74.3","84.5","0","23","11","9","--","--","--","--","20.9","20.6","08/01/25 16:00:00","900","0","0","0","0","0","1","0","1","2","3","6","10","15","3","2","43","0"
