"08/07/25 17:49:31","US-191_Thur_Aug_7_Station_2","SS126 U100000249"," FA-2700P MP-2.300","Sheep lane so of erda way","8/7/2025   10:00:00 AM","8/7/2025   5:45:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-50","C5-79","C6-120","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-20","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-80","S14-85","S15-145","BIN 1","BIN 2"
"LANE_02","17","1.3","59.4","64.0","0","6","4","1","0","6","--","--","52.9","52.3","08/07/25 13:45:00","900","0","0","0","0","0","0","0","3","6","6","2","0","0","0","0","17","0"

"LANE_01","13","1.3","49.6","53.0","0","4","2","1","2","4","--","--","69.2","68.3","08/07/25 14:00:00","900","0","0","0","0","0","2","4","5","1","1","0","0","0","0","0","13","0"
"LANE_02","13","1.3","63.6","67.0","0","2","2","1","1","7","--","--","69.2","68.4","08/07/25 14:00:00","900","0","0","0","0","0","0","0","0","2","7","2","2","0","0","0","13","0"

"LANE_01","12","0.8","48.9","55.0","0","5","2","3","0","2","--","--","75.0","74.4","08/07/25 14:15:00","900","0","0","0","0","0","3","5","2","2","0","0","0","0","0","0","12","0"
"LANE_02","14","1.3","56.5","66.0","0","5","1","0","2","6","--","--","64.3","63.4","08/07/25 14:15:00","900","0","0","0","1","0","0","3","0","3","4","3","0","0","0","0","14","0"

"LANE_01","27","2.6","50.0","55.5","0","8","6","1","1","11","--","--","33.3","32.5","08/07/25 14:30:00","900","0","0","0","0","0","3","12","7","4","1","0","0","0","0","0","27","0"
"LANE_02","16","1.4","53.3","59.0","0","2","4","3","3","4","--","--","56.3","55.5","08/07/25 14:30:00","900","1","0","0","0","0","0","0","8","7","0","0","0","0","0","0","16","0"

"LANE_01","23","2.0","50.9","56.0","0","7","4","3","3","6","--","--","39.1","38.3","08/07/25 14:45:00","900","0","0","0","1","0","3","5","7","5","2","0","0","0","0","0","23","0"
"LANE_02","14","1.3","48.7","61.0","0","3","6","0","3","2","--","--","64.3","63.5","08/07/25 14:45:00","900","0","1","0","2","0","3","2","1","2","1","0","1","1","0","0","14","0"

"LANE_01","16","2.1","49.6","55.0","0","2","2","1","2","9","--","--","56.3","55.1","08/07/25 15:00:00","900","0","0","0","0","1","1","7","5","2","0","0","0","0","0","0","16","0"
"LANE_02","24","1.9","53.8","59.0","0","8","5","2","2","7","--","--","37.5","36.8","08/07/25 15:00:00","900","0","0","0","0","1","0","3","11","7","2","0","0","0","0","0","24","0"

"LANE_01","10","1.2","52.1","58.0","0","2","2","0","0","6","--","--","90.0","89.0","08/07/25 15:15:00","900","0","0","0","0","0","1","3","3","2","0","1","0","0","0","0","10","0"
"LANE_02","7","0.5","62.5","69.0","0","2","0","1","2","2","--","--","128.6","127.9","08/07/25 15:15:00","900","0","0","0","0","0","0","0","1","1","3","2","0","0","0","0","7","0"

"LANE_01","8","0.7","50.1","54.0","0","2","3","0","0","3","--","--","112.5","111.7","08/07/25 15:30:00","900","0","0","0","0","1","0","3","3","1","0","0","0","0","0","0","8","0"
"LANE_02","16","1.5","59.8","65.0","0","4","2","1","1","8","--","--","56.3","55.4","08/07/25 15:30:00","900","0","0","0","0","0","0","0","4","3","7","2","0","0","0","0","16","0"

"LANE_01","13","1.0","54.0","60.0","0","3","3","4","0","3","--","--","69.2","68.6","08/07/25 15:45:00","900","0","0","0","0","0","2","2","2","5","2","0","0","0","0","0","13","0"
"LANE_02","10","0.6","57.7","61.0","0","4","2","0","1","3","--","--","90.0","89.4","08/07/25 15:45:00","900","0","0","0","0","0","0","0","2","5","3","0","0","0","0","0","10","0"

"LANE_01","17","1.8","50.2","57.0","0","6","3","0","1","7","--","--","52.9","52.0","08/07/25 16:00:00","900","0","0","0","0","1","4","3","5","3","1","0","0","0","0","0","17","0"
"LANE_02","17","1.7","59.0","63.5","0","2","3","1","1","10","--","--","52.9","52.0","08/07/25 16:00:00","900","0","0","0","0","0","0","0","4","6","6","1","0","0","0","0","17","0"

"LANE_01","20","1.9","49.5","52.0","0","3","5","3","3","6","--","--","45.0","44.2","08/07/25 16:15:00","900","0","0","0","0","0","1","9","10","0","0","0","0","0","0","0","20","0"
"LANE_02","12","0.6","62.4","65.0","0","2","5","3","0","2","--","--","75.0","74.5","08/07/25 16:15:00","900","0","0","0","0","0","0","0","0","4","6","1","0","1","0","0","12","0"

"LANE_01","14","1.5","54.2","59.0","0","1","3","2","1","7","--","--","64.3","63.3","08/07/25 16:30:00","900","0","0","0","0","0","1","1","5","4","3","0","0","0","0","0","14","0"
"LANE_02","16","1.6","55.6","62.5","0","2","2","1","5","6","--","--","56.3","55.4","08/07/25 16:30:00","900","0","0","0","0","0","0","2","7","2","5","0","0","0","0","0","16","0"

"LANE_01","15","1.8","49.4","54.7","0","3","3","0","2","7","--","--","60.0","58.9","08/07/25 16:45:00","900","0","0","0","0","1","1","5","7","1","0","0","0","0","0","0","15","0"
"LANE_02","18","1.4","55.4","64.0","0","7","3","0","3","5","--","--","50.0","49.3","08/07/25 16:45:00","900","0","0","0","0","0","2","5","2","3","3","2","1","0","0","0","18","0"

"LANE_01","8","0.9","56.1","60.0","0","1","2","0","0","5","--","--","112.5","111.5","08/07/25 17:00:00","900","0","0","0","0","0","0","1","2","4","1","0","0","0","0","0","8","0"
"LANE_02","28","1.5","60.0","62.0","0","14","6","2","0","6","--","--","32.1","31.7","08/07/25 17:00:00","900","0","0","0","0","0","0","0","2","14","10","1","0","0","1","0","28","0"

"LANE_01","9","0.8","55.0","60.0","0","3","1","0","2","3","--","--","100.0","99.2","08/07/25 17:15:00","900","0","0","0","0","0","0","1","5","2","1","0","0","0","0","0","9","0"
"LANE_02","20","1.0","61.4","67.0","0","8","8","0","1","3","--","--","45.0","44.6","08/07/25 17:15:00","900","0","0","0","0","1","0","2","1","1","7","7","0","0","1","0","20","0"

"LANE_01","15","1.6","52.1","55.5","0","4","3","0","1","7","--","--","60.0","59.1","08/07/25 17:30:00","900","0","0","0","0","0","0","4","8","3","0","0","0","0","0","0","15","0"
"LANE_02","17","0.9","62.1","66.5","0","9","3","1","1","3","--","--","52.9","52.4","08/07/25 17:30:00","900","0","0","0","0","0","0","0","1","4","7","4","1","0","0","0","17","0"

"LANE_01","8","0.7","57.5","68.5","0","2","2","0","1","3","--","--","112.5","111.7","08/07/25 17:45:00","900","0","0","0","0","0","0","2","1","2","1","2","0","0","0","0","8","0"
"LANE_02","11","0.8","64.3","66.6","0","3","1","2","1","4","--","--","81.8","81.2","08/07/25 17:45:00","900","0","0","0","0","0","0","0","0","0","6","5","0","0","0","0","11","0"

Total Bins:  31
