"07/18/25 16:54:40","US_6_Fri_July_18_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/18/2025   10:00:00 AM","7/18/2025   4:45:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_02","86","3.5","70.4","75.7","0","46","15","25","--","--","--","--","10.5","10.1","07/18/25 13:00:00","900","0","0","0","0","0","0","0","1","4","10","22","34","15","0","0","86","0"

"LANE_01","70","2.4","71.6","80.0","0","39","21","10","--","--","--","--","12.9","12.6","07/18/25 13:15:00","900","0","0","0","0","0","0","0","0","4","10","14","20","21","1","0","70","0"
"LANE_02","81","3.3","68.1","77.0","0","44","16","21","--","--","--","--","11.1","10.7","07/18/25 13:15:00","900","0","0","0","0","0","0","1","6","8","8","25","19","12","2","0","81","0"

"LANE_01","69","3.0","67.8","77.0","0","27","24","18","--","--","--","--","13.0","12.7","07/18/25 13:30:00","900","0","0","0","0","0","0","3","5","4","9","18","16","14","0","0","69","0"
"LANE_02","79","3.2","71.7","78.0","0","39","19","21","--","--","--","--","11.4","11.0","07/18/25 13:30:00","900","0","0","0","0","0","0","0","2","1","5","21","27","21","2","0","79","0"

"LANE_01","88","3.2","66.7","75.7","0","45","25","18","--","--","--","--","10.2","9.9","07/18/25 13:45:00","900","0","0","0","0","1","1","2","2","11","13","27","16","14","1","0","88","0"
"LANE_02","70","2.4","73.0","79.0","0","46","13","11","--","--","--","--","12.9","12.5","07/18/25 13:45:00","900","0","0","0","0","0","0","0","0","0","7","14","21","27","0","1","70","0"

"LANE_01","106","4.2","67.7","76.7","0","61","23","22","--","--","--","--","8.5","8.1","07/18/25 14:00:00","900","0","0","0","0","0","0","4","9","7","14","30","20","20","1","1","106","0"
