"07/15/25 17:03:04","US_6_Tue_July_15_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","7/15/2025   10:30:00 AM","7/15/2025   5:00:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_02","68","2.9","69.1","75.0","0","39","10","19","--","--","--","--","13.2","12.9","07/15/25 14:00:00","900","0","0","0","0","0","0","0","1","6","11","18","22","9","1","0","68","0"

"LANE_01","40","1.7","69.6","77.3","1","17","12","10","--","--","--","--","22.5","22.1","07/15/25 14:15:00","900","0","0","1","0","0","0","0","1","2","6","9","14","7","0","0","40","0"
"LANE_02","44","1.7","74.9","78.6","0","25","7","12","--","--","--","--","20.5","20.1","07/15/25 14:15:00","900","0","0","0","0","0","0","0","0","0","2","4","16","22","0","0","44","0"

"LANE_01","58","2.3","68.6","76.0","0","28","13","17","--","--","--","--","15.5","15.2","07/15/25 14:30:00","900","0","0","0","0","0","0","0","2","6","9","18","11","12","0","0","58","0"
"LANE_02","67","2.9","71.1","75.5","0","32","15","20","--","--","--","--","13.4","13.0","07/15/25 14:30:00","900","0","0","0","0","0","0","0","0","4","4","13","34","12","0","0","67","0"

"LANE_01","58","2.8","69.8","78.0","0","29","8","21","--","--","--","--","15.5","15.1","07/15/25 14:45:00","900","0","0","0","0","0","0","2","0","5","5","18","11","17","0","0","58","0"
"LANE_02","57","2.7","70.9","76.7","0","23","15","19","--","--","--","--","15.8","15.4","07/15/25 14:45:00","900","0","0","0","0","0","0","0","1","3","3","18","20","11","1","0","57","0"

"LANE_01","73","3.2","67.0","76.0","0","42","12","19","--","--","--","--","12.3","11.9","07/15/25 15:00:00","900","0","0","1","0","0","1","1","5","8","11","15","17","13","1","0","73","0"
"LANE_02","56","3.0","68.3","76.0","0","20","15","21","--","--","--","--","16.1","15.6","07/15/25 15:00:00","900","0","0","0","0","0","0","1","1","5","15","11","12","10","1","0","56","0"

"LANE_01","60","2.5","70.8","80.3","0","30","14","16","--","--","--","--","15.0","14.6","07/15/25 15:15:00","900","0","0","0","0","0","0","0","2","3","12","12","10","16","5","0","60","0"
"LANE_02","54","2.1","71.6","76.0","0","30","10","14","--","--","--","--","16.7","16.3","07/15/25 15:15:00","900","0","0","0","0","0","0","0","0","3","4","13","19","13","2","0","54","0"

"LANE_01","67","2.8","67.6","75.3","0","33","16","18","--","--","--","--","13.4","13.1","07/15/25 15:30:00","900","0","0","0","0","0","0","0","2","8","18","14","14","10","1","0","67","0"
"LANE_02","66","3.3","65.8","72.5","0","27","18","21","--","--","--","--","13.6","13.2","07/15/25 15:30:00","900","0","0","0","0","0","0","0","7","7","16","20","8","7","1","0","66","0"

"LANE_01","47","2.0","65.8","78.0","0","27","13","7","--","--","--","--","19.2","18.8","07/15/25 15:45:00","900","0","2","2","0","0","0","1","1","1","10","9","11","9","1","0","47","0"
"LANE_02","56","2.9","65.9","74.7","0","24","13","19","--","--","--","--","16.1","15.6","07/15/25 15:45:00","900","0","0","0","0","0","0","5","3","8","10","7","16","6","1","0","56","0"

"LANE_01","44","1.7","68.2","77.0","0","29","6","9","--","--","--","--","20.5","20.1","07/15/25 16:00:00","900","0","0","0","0","0","0","1","2","7","7","10","8","7","2","0","44","0"
"LANE_02","52","2.1","69.8","75.5","0","21","19","12","--","--","--","--","17.3","16.9","07/15/25 16:00:00","900","0","0","0","0","0","0","0","0","4","8","14","17","9","0","0","52","0"

"LANE_01","58","2.3","68.2","76.0","0","31","13","14","--","--","--","--","15.5","15.2","07/15/25 16:15:00","900","0","0","0","0","0","0","0","0","8","13","17","10","10","0","0","58","0"
"LANE_02","69","3.1","70.9","79.0","0","28","20","21","--","--","--","--","13.0","12.6","07/15/25 16:15:00","900","0","0","0","0","0","0","0","0","1","15","17","18","17","1","0","69","0"

"LANE_01","53","2.3","63.7","74.0","1","29","10","13","--","--","--","--","17.0","16.6","07/15/25 16:30:00","900","0","1","0","0","0","0","3","7","9","10","8","7","6","1","1","53","0"
"LANE_02","52","2.6","70.2","80.5","0","18","16","18","--","--","--","--","17.3","16.9","07/15/25 16:30:00","900","0","0","0","0","1","1","1","3","2","4","11","18","9","1","1","52","0"

"LANE_01","46","2.1","64.3","72.3","0","25","7","14","--","--","--","--","19.6","19.2","07/15/25 16:45:00","900","0","0","0","0","0","0","0","5","5","17","6","12","1","0","0","46","0"
"LANE_02","42","2.0","64.7","71.5","0","18","12","12","--","--","--","--","21.4","21.0","07/15/25 16:45:00","900","0","0","0","0","0","0","0","3","7","11","12","8","1","0","0","42","0"

"LANE_01","40","1.8","63.5","70.5","1","22","8","9","--","--","--","--","22.5","22.1","07/15/25 17:00:00","900","0","1","0","1","0","1","0","1","7","5","16","5","2","0","1","40","0"
"LANE_02","68","3.2","66.8","75.5","0","29","20","19","--","--","--","--","13.2","12.8","07/15/25 17:00:00","900","0","0","0","0","0","0","2","6","4","13","20","12","11","0","0","68","0"

Total Bins:  27
