"08/06/25 18:02:36","US-191_Wed_Aug_6_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","8/6/2025   10:15:00 AM","8/6/2025   5:30:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_02","14","1.1","59.8","64.0","0","4","2","8","--","--","--","--","64.3","63.6","08/06/25 13:45:00","900","0","0","0","0","0","0","0","2","6","4","2","0","0","0","0","14","0"

"LANE_01","20","1.7","52.9","58.7","0","5","6","9","--","--","--","--","45.0","44.2","08/06/25 14:00:00","900","0","0","0","0","0","1","5","7","6","0","1","0","0","0","0","20","0"
"LANE_02","20","1.8","58.4","65.0","0","5","2","13","--","--","--","--","45.0","44.2","08/06/25 14:00:00","900","0","0","0","0","0","0","3","4","2","8","3","0","0","0","0","20","0"

"LANE_01","9","0.7","50.6","57.0","0","3","1","5","--","--","--","--","100.0","99.3","08/06/25 14:15:00","900","0","0","0","0","0","3","0","4","1","0","1","0","0","0","0","9","0"
"LANE_02","22","2.0","54.8","65.0","0","5","5","12","--","--","--","--","40.9","40.1","08/06/25 14:15:00","900","0","0","0","0","0","3","3","5","6","2","3","0","0","0","0","22","0"

"LANE_01","18","1.9","50.7","58.0","0","3","6","9","--","--","--","--","50.0","49.1","08/06/25 14:30:00","900","0","0","0","0","2","3","2","7","2","0","1","1","0","0","0","18","0"
"LANE_02","10","0.7","59.8","67.0","0","2","3","5","--","--","--","--","90.0","89.4","08/06/25 14:30:00","900","0","0","0","0","0","0","1","1","3","3","1","1","0","0","0","10","0"

"LANE_01","14","1.7","48.2","53.3","0","2","2","10","--","--","--","--","64.3","63.2","08/06/25 14:45:00","900","0","0","0","0","1","4","1","8","0","0","0","0","0","0","0","14","0"
"LANE_02","4","0.2","63.4","65.0","0","2","0","2","--","--","--","--","225.0","224.5","08/06/25 14:45:00","900","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","4","0"

"LANE_01","13","1.0","56.6","65.0","0","3","5","5","--","--","--","--","69.2","68.6","08/06/25 15:00:00","900","0","0","0","0","0","0","5","3","1","2","1","0","1","0","0","13","0"
"LANE_02","18","1.7","54.0","62.0","0","6","2","10","--","--","--","--","50.0","49.2","08/06/25 15:00:00","900","0","0","0","0","1","2","4","2","5","2","2","0","0","0","0","18","0"

"LANE_01","20","1.7","51.7","61.0","0","5","6","9","--","--","--","--","45.0","44.2","08/06/25 15:15:00","900","0","0","0","0","1","1","8","4","2","4","0","0","0","0","0","20","0"
"LANE_02","19","1.5","55.1","61.0","0","7","2","10","--","--","--","--","47.4","46.7","08/06/25 15:15:00","900","0","0","0","0","0","1","2","6","5","5","0","0","0","0","0","19","0"

"LANE_01","16","2.4","46.7","55.5","0","0","2","14","--","--","--","--","56.3","54.9","08/06/25 15:30:00","900","0","0","1","0","2","3","3","4","2","1","0","0","0","0","0","16","0"
"LANE_02","18","1.3","58.9","64.0","0","4","7","7","--","--","--","--","50.0","49.3","08/06/25 15:30:00","900","0","0","0","1","0","0","0","1","7","7","1","0","1","0","0","18","0"

"LANE_01","19","2.6","48.7","55.0","0","3","2","14","--","--","--","--","47.4","46.2","08/06/25 15:45:00","900","0","0","0","0","3","2","4","7","2","1","0","0","0","0","0","19","0"
"LANE_02","18","1.8","57.8","65.0","0","3","3","12","--","--","--","--","50.0","49.1","08/06/25 15:45:00","900","0","0","0","0","0","2","0","5","3","5","3","0","0","0","0","18","0"

"LANE_01","16","1.3","54.6","62.0","0","5","5","6","--","--","--","--","56.3","55.5","08/06/25 16:00:00","900","0","0","0","0","0","0","2","10","0","3","1","0","0","0","0","16","0"
"LANE_02","8","0.7","61.0","70.0","0","0","3","5","--","--","--","--","112.5","111.7","08/06/25 16:00:00","900","0","0","0","0","1","0","0","0","2","3","1","0","1","0","0","8","0"

"LANE_01","16","1.5","54.9","62.0","0","5","3","8","--","--","--","--","56.3","55.4","08/06/25 16:15:00","900","0","0","0","1","1","2","4","3","2","1","1","0","0","0","1","16","0"
"LANE_02","27","2.4","58.8","65.0","0","6","5","16","--","--","--","--","33.3","32.5","08/06/25 16:15:00","900","0","0","0","0","0","0","1","5","11","6","3","1","0","0","0","27","0"

"LANE_01","17","2.1","51.2","56.0","0","3","3","11","--","--","--","--","52.9","51.8","08/06/25 16:30:00","900","0","0","0","0","2","2","1","7","3","2","0","0","0","0","0","17","0"
"LANE_02","18","1.9","51.7","57.0","0","2","5","11","--","--","--","--","50.0","49.0","08/06/25 16:30:00","900","0","0","0","3","0","3","1","5","4","1","0","0","0","0","1","18","0"

"LANE_01","13","1.9","45.1","51.0","0","3","1","9","--","--","--","--","69.2","67.9","08/06/25 16:45:00","900","0","0","0","0","3","4","2","3","1","0","0","0","0","0","0","13","0"
"LANE_02","22","1.7","55.3","61.0","0","5","9","8","--","--","--","--","40.9","40.2","08/06/25 16:45:00","900","0","0","0","1","0","0","2","6","8","4","1","0","0","0","0","22","0"

"LANE_01","15","1.5","53.4","58.0","0","3","3","9","--","--","--","--","60.0","59.1","08/06/25 17:00:00","900","0","0","0","0","0","1","3","4","7","0","0","0","0","0","0","15","0"
"LANE_02","1","0.1","55.3","56.0","0","0","0","1","--","--","--","--","900.1","898.7","08/06/25 17:00:00","900","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"

"LANE_01","16","1.2","53.1","61.0","0","6","5","5","--","--","--","--","56.3","55.6","08/06/25 17:15:00","900","0","0","0","0","0","4","2","5","2","1","0","1","1","0","0","16","0"
"LANE_02","12","1.1","61.7","66.0","0","4","0","8","--","--","--","--","75.0","74.2","08/06/25 17:15:00","900","0","0","0","0","0","0","0","1","5","3","2","1","0","0","0","12","0"

"LANE_01","12","0.9","57.0","64.0","0","5","3","4","--","--","--","--","75.0","74.3","08/06/25 17:30:00","900","0","0","0","0","1","0","1","4","1","3","1","0","1","0","0","12","0"
"LANE_02","25","1.7","59.0","67.0","0","10","6","9","--","--","--","--","36.0","35.4","08/06/25 17:30:00","900","0","0","0","1","0","1","0","3","9","4","7","0","0","0","0","25","0"

Total Bins:  30
