timestamp,class,brake,avoidance,displacement,state
-1:59:59:999,,,,,2
09:18:18:151,,d,,,
09:18:33:902,,,b,,
09:18:40:651,,,b,,
09:18:49:153,,,b,,
09:18:58:155,,,b,,
09:19:08:905,,,b,,
09:19:21:657,,,b,,
09:19:23:452,,,b,,
09:19:30:401,,,b,,
09:19:33:405,,,b,,
09:19:35:406,,,b,,
09:19:51:906,,,b,,
09:20:32:405,j,,,,
09:20:35:904,k,,,,
09:20:56:156,l,,,,
09:21:06:655,,,b,,
09:21:16:156,j,,,,
09:21:18:402,k,,,,
09:21:30:402,l,,,,
09:21:37:907,j,,,,
09:21:40:404,k,,,,
09:21:56:654,j,,,,
09:21:56:655,l,,,,
09:22:10:406,,,b,,
09:22:11:156,k,,,,
09:22:32:654,l,,,,
09:22:53:905,j,,,,
09:22:56:403,k,,,,
09:23:15:656,l,,,,
09:23:19:903,,,b,,
09:23:40:904,,,b,,
09:24:20:902,,,b,,
09:25:16:655,,,b,,
09:25:17:903,,f,,,
