timestamp,class,brake,avoidance,displacement,state
13:56:00:000,,,,,0
13:58:42:424,k,,,,
13:58:46:314,j,,,,
14:00:02:671,k,,b,,
14:00:26:852,j,,,,
14:05:42:424,k,,,,
14:05:48:744,k,,,,
14:05:51:744,j,,,,
14:06:13:000,l,,,,
14:07:36:578,j,,,,
14:07:45:513,j,,,,
14:08:07:123,j,,,,
14:08:09:889,j,,,,
14:13:16:396,j,,,,
14:13:36:452,j,,,,
14:13:40:969,j,,,,
14:14:57:122,j,,,,
14:15:02:560,j,,,,
14:15:13:964,j,,b,,
14:15:15:675,k,,,,
14:17:04:577,,,,y,
14:17:16:341,k,,,,
14:20:09:404,j,d,,,
14:21:00:926,j,,,,
14:21:08:922,k,,,,
14:21:13:127,j,,,,
14:21:14:934,k,,,,
14:21:16:583,j,,,,
14:21:19:439,k,,b,,
14:21:23:439,k,,b,,
14:21:42:189,k,,b,,
14:22:13:967,j,,,,
14:22:55:202,k,d,,,
14:22:59:037,k,d,,,
14:23:03:537,k,,,,
14:23:07:036,k,,,,
14:23:10:298,j,,,,
14:23:14:048,j,,,,
14:26:07:803,j,,,,
14:26:18:781,k,,,,
14:28:03:542,k,,,,
14:29:05:699,k,,,,
14:29:08:405,j,,,,
14:29:10:406,j,,,,
14:29:13:656,j,,,,
14:29:26:656,l,d,b,,
14:29:54:163,j,,,,
14:29:56:705,j,,,,
14:30:04:314,j,d,,,
14:30:06:966,j,d,,,
14:32:27:573,j,,,,
14:36:12:874,j,,,,
14:36:48:996,j,,,,
14:36:50:880,j,,,,
14:38:06:987,j,,,,
14:38:32:707,k,,,,
14:39:04:316,k,,,,
14:39:10:265,k,,,,
14:39:14:021,k,,,,
14:39:17:776,j,,,,
14:39:20:027,j,d,,,
14:39:27:528,k,,,,
14:40:08:035,k,,b,,
14:41:03:385,j,,,,
14:41:59:637,,,,y,
14:43:26:546,j,,,,
14:43:53:383,j,,b,,
14:47:15:006,k,d,,,
14:47:32:212,k,,,,
14:50:15:778,k,,,,
14:50:19:998,j,,,,
14:50:32:154,j,,,,
14:51:15:013,k,d,,,
14:53:36:608,j,d,,,
14:53:46:404,j,,,,
14:55:00:983,k,,,,
14:55:23:503,k,d,,,
14:55:53:533,k,d,,,
14:56:50:086,j,,,,
14:57:10:293,k,,,,
14:57:54:365,k,d,,,
14:58:00:160,k,,b,,
14:59:16:666,j,,,,
15:01:30:741,k,,,,
15:01:38:792,j,,,,
15:01:48:383,j,,,,
15:02:18:391,k,d,,,
15:02:46:924,k,d,,,
15:02:58:103,k,,,,
15:03:41:967,j,,,,
15:05:06:266,k,d,b,,
15:08:28:336,k,,,,
15:15:12:301,k,,,,
15:15:22:459,j,,b,,
15:15:24:952,j,,,,
15:17:08:709,k,d,,,
15:17:19:123,j,,,,
15:21:59:107,k,d,,,
15:26:25:363,j,d,,,
15:27:46:737,j,,,,
15:28:49:665,j,,,,
15:32:23:533,k,,,,
15:33:36:815,k,d,,,
15:34:23:819,l,,,,
15:34:28:315,l,,b,,
15:36:38:820,k,,,,
15:37:14:255,j,,,,
15:37:20:341,k,,,,
15:37:58:794,j,,,,
15:38:05:077,j,,,,
15:39:37:589,k,,,,
15:39:53:588,k,d,,,
15:41:23:279,j,,,,
15:44:23:582,k,,,,
15:45:20:227,k,,b,,
15:45:40:281,k,d,,,
15:45:55:284,j,,,,
15:45:58:277,j,,,,
15:47:00:282,k,,,,
15:47:03:778,k,d,,,
15:47:32:984,j,,b,,
15:47:46:414,j,,,,
15:48:09:680,j,,b,,
15:50:20:903,k,,,,
15:53:37:583,k,,,,
15:53:48:079,k,,,,
15:54:21:331,j,d,,,
15:57:50:922,j,,,,
15:58:02:780,k,d,,,
15:58:06:527,j,,,,
15:58:47:631,j,,b,,
15:59:00:091,j,,b,,
15:59:20:597,k,,,,
15:59:39:097,j,,,,
15:59:41:848,j,,,,
16:01:48:209,k,d,,,
16:01:59:437,j,,,,
16:02:04:536,j,,,,
16:02:12:642,k,,b,,
16:02:14:800,j,,b,,
16:02:17:300,k,,,,
16:02:21:300,k,,,,
16:02:25:601,k,,,,
16:02:27:062,k,,,,
16:02:28:812,j,,,,
16:05:27:069,j,,,,
16:05:57:501,k,,,,
16:06:05:932,k,d,b,,
16:08:26:089,j,,,,
16:12:32:178,k,,,,
16:16:30:174,k,,,,
16:16:39:911,k,d,,,
16:18:53:119,k,,,,
16:18:56:559,k,,,,
16:18:59:559,k,,,,
16:19:00:559,k,,,,
16:19:17:060,k,d,,,
16:19:24:059,k,,,,
16:19:40:166,k,,,,
16:19:43:856,k,d,,,
16:19:46:106,j,,,,
16:19:48:107,j,,,,
16:21:12:061,j,,,,
16:31:45:356,k,d,,,
16:31:49:336,k,d,,,
16:32:09:444,k,d,b,,
16:37:23:114,j,,,,
16:37:38:432,j,,,,
16:37:42:699,j,,,,
16:38:38:953,j,,,,
16:39:01:207,k,,,,
16:39:26:983,k,,,,
16:39:33:307,k,,,,
16:39:44:312,k,d,,,
16:40:05:326,k,,,,
16:40:14:322,k,d,,,
16:40:17:351,j,,,,
16:41:45:359,j,,,,
16:45:02:150,j,,,,
16:52:13:393,j,,,,
16:52:16:570,j,,,,
16:53:10:427,k,,,,
16:53:27:929,k,,,,
16:54:57:660,k,d,,,
16:55:51:663,k,d,,,
16:56:25:052,k,,,,
16:58:38:036,j,,,,
16:59:08:471,j,,,,
17:00:14:900,k,,,,
17:00:25:068,j,,b,,
17:01:24:825,k,d,,,
17:02:30:585,k,,,,
17:03:01:202,j,,b,,
17:04:20:204,k,,,,
17:04:51:059,k,,b,,
