timestamp,class,brake,avoidance,displacement,state
00:00:40:225,j,d,b,y,
00:02:01:423,k,,b,,
00:04:23:277,j,,,,
00:04:25:858,j,,,,
00:04:50:069,j,,,,
00:05:15:525,k,,,,
00:05:19:395,j,,,,
00:05:58:536,k,,,,
00:06:02:943,k,d,,,
00:07:32:647,k,d,,,
00:07:44:287,k,d,,,
00:10:21:883,j,f,,,
00:10:24:551,j,d,,,
00:10:44:930,k,d,,,
00:10:49:316,j,,,,
00:10:57:090,k,d,,,
00:11:07:279,j,,,,
00:11:16:640,j,,,,
00:11:31:057,j,,,,
00:11:56:562,j,,,,
00:12:21:568,j,,,,
00:13:37:477,j,,b,,
00:14:07:302,j,,,,
00:14:27:506,j,,,,
00:14:31:392,j,,,,
00:16:15:873,k,,,,
00:16:33:417,k,,b,,
00:20:49:945,j,,,,
00:20:53:990,j,,,,
00:21:16:793,j,,b,,
00:21:29:327,j,,,,
00:21:50:507,j,,,,
00:21:51:508,j,,,,
00:22:45:027,k,d,,,
00:22:47:280,j,,,,
00:23:16:307,k,,,,
00:25:10:677,k,,,,
00:25:14:484,k,d,,,
00:25:18:611,k,d,,,
00:25:28:538,j,,,,
00:31:02:466,j,,,,
00:31:04:176,j,,,,
00:31:06:073,j,,,,
00:31:07:532,j,,,,
00:31:29:045,k,,,,
00:31:41:194,k,,,,
00:31:42:894,j,,,,
00:32:12:218,j,,,,
00:32:14:261,j,d,,,
00:32:18:889,j,,b,,
00:32:51:926,k,d,,,
00:33:54:330,k,d,,,
00:33:57:375,j,,,,
00:33:58:730,j,,,,
00:34:02:880,k,d,,,
00:34:09:961,k,d,,,
00:35:16:633,k,,,,
00:36:45:881,k,d,,,
00:37:01:583,k,,,,
00:37:27:315,k,,,,
00:41:23:882,k,,,,
00:41:25:344,j,,b,,
00:43:23:417,k,,b,,
00:43:28:304,k,,,,
00:43:34:974,k,,b,,
00:44:03:291,k,,,,
00:45:24:953,j,d,,,
00:45:32:321,j,,,,
00:47:57:036,j,,,,
00:47:58:704,j,,,,
00:48:30:000,k,,,,
00:48:33:716,k,,,,
00:50:19:050,k,d,,,
00:50:23:841,k,d,,,
00:50:42:839,j,d,,,
00:51:22:436,j,,,,
00:52:30:828,j,d,,,
00:52:33:038,j,,,,
00:52:47:358,j,,b,,
00:52:54:327,k,,,,
00:53:13:343,k,,,,
00:53:56:740,k,,,,
00:54:54:325,j,,,,
00:55:39:295,k,,,,
00:59:34:822,j,,,,
00:59:42:021,j,,b,,
01:00:37:157,j,,,,
01:00:37:899,j,,,,
01:02:32:692,j,,,,
01:03:17:024,k,,,,
01:04:18:003,j,,b,,
01:04:46:973,j,,,,
01:05:12:203,k,,b,,
01:05:21:331,k,d,,,
01:05:29:740,j,,,,
01:08:58:906,k,d,,,
01:11:34:134,j,,,,
01:12:13:593,j,,,,
01:14:28:704,k,d,,,
01:14:33:281,j,,,,
01:16:02:738,k,d,,,
01:17:28:006,j,,,,
01:20:47:421,j,,,,
01:21:05:427,k,,,,
01:21:48:203,k,d,,,
01:23:32:095,k,d,,,
01:23:34:426,j,,,,
01:23:36:011,j,d,,,
01:23:37:304,j,,,,
01:23:40:761,j,,,,
01:25:00:444,k,,,,
01:25:04:364,k,,,,
01:27:13:766,j,,,,
01:28:38:256,k,,,,
01:31:46:803,k,,,,
01:32:03:008,k,d,b,,
01:33:54:990,j,,,,
01:36:26:389,j,,,,
01:37:51:180,k,,,,
01:38:35:495,k,d,,,
01:39:16:483,k,,,,
01:39:42:290,k,d,,,
01:40:23:624,j,d,,,
01:44:52:533,k,,,,
01:46:59:221,l,,,,
01:47:44:539,j,,,,
01:47:58:182,k,,,,
01:50:05:627,k,d,,,
01:50:52:352,j,,,,
01:53:21:891,k,d,,,
01:54:30:018,j,d,,,
01:54:55:065,j,,,,
01:55:10:152,j,,,,
01:57:32:121,j,d,,,
01:58:10:054,,,,y,
02:27:16:315,j,d,b,y,
