timestamp,class,brake,avoidance,displacement,state
12:18:00:453,,,,,0
12:18:07:179,j,,,,
12:18:10:216,j,,,,
12:18:12:466,j,,,,
12:18:40:406,k,,,,
12:18:44:496,k,,,,
12:18:50:943,j,,,,
12:19:02:537,j,,,,
12:19:05:619,k,,,,
12:19:38:108,k,,,,
12:19:41:168,j,,,,
12:20:13:184,k,,,,
12:20:18:073,j,,,,
12:20:19:828,j,,,,
12:20:43:675,j,,,,
12:20:51:161,j,f,,,
12:20:52:112,,,,,
12:21:33:853,k,,,,
12:21:39:653,j,,,,
12:22:27:671,k,,,,
12:22:30:561,j,,,,
12:22:41:869,k,,,,
12:22:44:369,j,,,,
12:22:52:484,j,,,,
12:22:55:743,j,,,,
12:23:09:584,j,,,,
12:23:46:250,k,,,,
12:23:50:345,j,,,,
12:23:54:283,k,f,,,
12:24:32:692,j,,,,
12:24:41:826,k,,,,
12:25:06:266,j,,,,
12:25:07:829,k,,,,
12:25:41:481,k,,,,
12:25:43:643,j,,,,
12:25:46:877,j,,,,
12:25:48:167,k,,,,
12:25:51:109,k,,,,
12:25:53:657,j,,,,
12:26:05:064,j,,,,
12:26:17:416,k,,,,
12:26:49:117,k,,,,
12:27:29:663,k,,,,
12:27:36:504,k,,,,
12:27:53:999,k,,,,
12:27:57:650,j,,,,
12:27:59:641,j,,,,
12:28:02:143,j,,,,
12:28:04:085,j,,,,
12:28:17:818,j,,,,
12:28:19:862,j,d,,,
12:28:53:665,j,,b,,
12:28:56:706,j,,,,
12:28:58:213,j,,,,
12:29:44:514,j,,,,
12:29:52:600,k,,,,
12:30:36:438,k,,,,
12:30:52:035,j,,,,
12:30:54:362,j,,,,
12:30:57:626,j,,,,
12:31:38:227,j,,,,
12:31:41:857,k,,,,
12:32:42:577,k,,,,
12:32:45:077,j,,,,
12:32:46:277,j,,,,
12:32:47:523,j,,,,
12:32:49:776,k,,,,
12:32:51:239,j,,,,
12:33:58:932,k,,,,
12:34:25:120,k,,,,
12:34:36:282,k,,,,
12:34:38:459,j,d,,,
12:35:15:820,j,,,,
12:35:18:729,j,,,,
12:35:21:643,j,,,,
12:35:40:260,k,,,,
12:36:35:461,k,,,,
12:36:37:600,j,,,,
12:36:43:152,j,,,,
12:37:09:954,j,,,,
12:37:11:925,j,,,,
12:37:27:330,j,,,,
12:37:38:742,j,,,,
12:37:39:991,j,,,,
12:37:54:264,j,d,,,
12:38:26:987,j,,,,
12:38:30:187,j,,,,
12:38:40:984,k,,,,
12:38:44:212,j,,,,
12:38:49:666,k,,,,
12:39:02:180,k,,,,
12:39:07:289,j,,,,
12:39:12:321,j,d,,,
12:39:58:660,j,,,,
12:40:05:877,j,,,,
12:40:08:297,j,,,,
12:40:24:189,j,,,,
12:40:25:356,j,,,,
12:40:55:685,j,,,,
12:41:13:119,j,d,,,
12:41:18:153,k,,,,
12:41:43:354,k,,,,
12:41:46:856,j,,,,
12:42:00:703,k,,b,,
12:42:03:122,j,,,,
12:42:22:645,j,,,,
12:42:25:856,k,,,,
12:42:27:923,j,d,,,
12:42:29:420,j,,,,
12:42:30:791,j,,,,
12:43:04:782,j,,,,
12:43:08:358,j,,,,
12:43:18:475,j,,,,
12:43:20:993,k,,,,
12:44:02:240,j,,,,
12:44:58:701,j,,,,
12:45:12:325,k,,,,
12:45:14:025,j,,,,
12:45:59:462,j,,,,
12:46:07:537,k,,,,
12:46:21:855,j,,,,
12:46:34:171,j,,,,
12:46:35:441,j,f,,,
12:46:37:236,j,,,,
12:47:37:590,j,,,,
12:48:03:810,j,,,,
12:48:23:791,j,,,,
12:48:43:198,l,,,,
12:49:11:842,j,,,,
12:50:12:796,j,,,,
12:50:16:181,k,,,,
12:50:26:160,j,,,,
12:50:31:409,j,,,,
12:50:51:267,j,,,,
12:51:18:904,k,,,,
12:51:20:306,j,,,,
12:51:21:854,j,,,,
12:52:17:661,j,,,,
12:52:40:915,k,,,,
12:52:43:440,j,,,,
12:53:34:735,k,f,,,
12:53:36:904,j,,,,
12:53:41:226,k,f,,,
12:53:50:504,j,,,,
12:53:56:591,j,,,,
12:53:58:998,j,,,,
12:54:07:829,j,,,,
12:55:45:590,j,,,,
12:55:48:073,j,,,,
12:55:49:826,j,,,,
12:55:50:976,j,d,,,
12:56:15:049,k,,,,
12:56:17:767,j,,,,
12:57:13:369,k,,,,
12:57:29:177,j,,,,
12:58:30:423,k,,b,,
12:58:42:742,j,,,,
12:58:44:436,j,,,,
12:58:49:413,j,f,,,
12:59:07:001,j,,,,
12:59:09:581,j,,,,
12:59:20:974,k,,,,
12:59:26:575,j,,,,
12:59:45:517,k,,,,
12:59:47:485,k,,,,
12:59:50:493,j,d,,,
12:59:52:982,j,,,,
12:59:55:487,j,,,,
13:00:07:263,j,,,,
13:00:09:624,j,,,,
13:00:10:974,j,,,,
13:00:11:941,j,,,,
13:00:16:430,j,,,,
13:00:21:172,j,,,,
13:01:38:922,j,,,,
13:02:03:233,j,,,,
13:02:56:506,j,,,,
13:02:58:255,j,,,,
13:03:02:151,j,,,,
13:03:08:190,j,,,,
13:03:14:510,j,,,,
13:03:17:123,j,,,,
13:03:18:812,k,,,,
13:03:20:559,j,d,,,
13:03:36:126,j,,,,
13:04:07:529,j,,,,
13:04:13:876,j,,,,
13:04:34:851,k,,,,
13:04:37:250,j,,,,
13:04:43:053,k,,,,
13:04:46:100,j,,,,
13:07:19:384,k,,,,
13:07:22:398,j,,,,
13:07:24:048,j,,,,
13:07:42:010,k,,,,
13:07:46:261,l,,b,,
13:07:47:247,k,,,,
13:07:58:843,j,,,,
13:08:00:193,k,,,,
13:08:30:916,j,,,,
13:09:32:320,j,,,,
13:09:33:692,j,,,,
13:09:35:146,j,,,,
13:09:50:089,j,,,,
13:10:04:034,j,,,,
13:10:33:716,k,,,,
13:10:36:110,j,,,,
13:10:37:748,j,,,,
13:10:46:388,k,,,,
13:11:41:708,j,,,,
13:12:32:072,j,,,,
13:13:00:104,j,,,,
