"site","unit","date","time","speed_85","strip_spacing"
"sr12","w1",2025-07-09,2025-07-09 08:15:00,57.3,"25"
"sr12","w1",2025-07-09,2025-07-09 08:30:00,58.5,"25"
"sr12","w1",2025-07-09,2025-07-09 08:45:00,60.5,"25"
"sr12","w1",2025-07-09,2025-07-09 09:00:00,56.8,"25"
"sr12","w1",2025-07-09,2025-07-09 09:15:00,48.5,"25"
"sr12","w1",2025-07-09,2025-07-09 09:30:00,57.5,"25"
"sr12","w1",2025-07-09,2025-07-09 09:45:00,51,"25"
"sr12","w1",2025-07-09,2025-07-09 10:00:00,55.5,"25"
"sr12","w1",2025-07-09,2025-07-09 10:15:00,52.3,"25"
"sr12","w1",2025-07-09,2025-07-09 10:30:00,54,"25"
"sr12","w1",2025-07-09,2025-07-09 10:45:00,51,"25"
"sr12","w1",2025-07-09,2025-07-09 11:00:00,50.3,"25"
"sr12","w1",2025-07-09,2025-07-09 11:15:00,48,"25"
"sr12","w1",2025-07-09,2025-07-09 11:30:00,50.5,"25"
"sr12","w1",2025-07-09,2025-07-09 11:45:00,54,"25"
"sr12","w1",2025-07-09,2025-07-09 12:00:00,49,"25"
"sr12","w1",2025-07-09,2025-07-09 12:15:00,50,"25"
"sr12","w1",2025-07-09,2025-07-09 12:30:00,47,"25"
"sr12","w1",2025-07-09,2025-07-09 12:45:00,54,"25"
"sr12","w1",2025-07-09,2025-07-09 13:00:00,54,"25"
"sr12","w1",2025-07-09,2025-07-09 13:15:00,52.8,"25"
"sr12","w1",2025-07-09,2025-07-09 13:30:00,54,"25"
"sr12","w1",2025-07-09,2025-07-09 13:45:00,51.5,"25"
"sr12","w1",2025-07-09,2025-07-09 14:00:00,56.5,"25"
"sr12","w1",2025-07-09,2025-07-09 14:15:00,55.5,"25"
"sr12","w1",2025-07-09,2025-07-09 14:30:00,52,"25"
"sr12","w1",2025-07-09,2025-07-09 14:45:00,55.5,"25"
"sr12","w1",2025-07-09,2025-07-09 15:00:00,51,"25"
"sr12","w1",2025-07-09,2025-07-09 15:15:00,51.5,"25"
"sr12","w1",2025-07-09,2025-07-09 15:30:00,58.7,"25"
"sr12","w1",2025-07-09,2025-07-09 15:45:00,53,"25"
"sr12","w1",2025-07-09,2025-07-09 16:00:00,53.5,"25"
"sr12","w1",2025-07-09,2025-07-09 16:15:00,53.5,"25"
"sr12","w1",2025-07-09,2025-07-09 16:30:00,54,"25"
"sr12","w1",2025-07-09,2025-07-09 16:45:00,53,"25"
"sr12","w1",2025-07-09,2025-07-09 17:00:00,53,"25"
"sr12","w2",2025-07-09,2025-07-09 08:15:00,54.3,"25"
"sr12","w2",2025-07-09,2025-07-09 08:30:00,56,"25"
"sr12","w2",2025-07-09,2025-07-09 08:45:00,58.8,"25"
"sr12","w2",2025-07-09,2025-07-09 09:00:00,57.5,"25"
"sr12","w2",2025-07-09,2025-07-09 09:15:00,52,"25"
"sr12","w2",2025-07-09,2025-07-09 09:30:00,60,"25"
"sr12","w2",2025-07-09,2025-07-09 09:45:00,52,"25"
"sr12","w2",2025-07-09,2025-07-09 10:00:00,57.3,"25"
"sr12","w2",2025-07-09,2025-07-09 10:15:00,56,"25"
"sr12","w2",2025-07-09,2025-07-09 10:30:00,53,"25"
"sr12","w2",2025-07-09,2025-07-09 10:45:00,54.5,"25"
"sr12","w2",2025-07-09,2025-07-09 11:00:00,52,"25"
"sr12","w2",2025-07-09,2025-07-09 11:15:00,51.5,"25"
"sr12","w2",2025-07-09,2025-07-09 11:30:00,51.6,"25"
"sr12","w2",2025-07-09,2025-07-09 11:45:00,51,"25"
"sr12","w2",2025-07-09,2025-07-09 12:00:00,52.3,"25"
"sr12","w2",2025-07-09,2025-07-09 12:15:00,52.5,"25"
"sr12","w2",2025-07-09,2025-07-09 12:30:00,42.8,"25"
"sr12","w2",2025-07-09,2025-07-09 12:45:00,50,"25"
"sr12","w2",2025-07-09,2025-07-09 13:00:00,57.3,"25"
"sr12","w2",2025-07-09,2025-07-09 13:15:00,51.3,"25"
"sr12","w2",2025-07-09,2025-07-09 13:30:00,55,"25"
"sr12","w2",2025-07-09,2025-07-09 13:45:00,53,"25"
"sr12","w2",2025-07-09,2025-07-09 14:00:00,54.5,"25"
"sr12","w2",2025-07-09,2025-07-09 14:15:00,59.5,"25"
"sr12","w2",2025-07-09,2025-07-09 14:30:00,51,"25"
"sr12","w2",2025-07-09,2025-07-09 14:45:00,51.8,"25"
"sr12","w2",2025-07-09,2025-07-09 15:00:00,55,"25"
"sr12","w2",2025-07-09,2025-07-09 15:15:00,51.8,"25"
"sr12","w2",2025-07-09,2025-07-09 15:30:00,58,"25"
"sr12","w2",2025-07-09,2025-07-09 15:45:00,58,"25"
"sr12","w2",2025-07-09,2025-07-09 16:00:00,53,"25"
"sr12","w2",2025-07-09,2025-07-09 16:15:00,49,"25"
"sr12","w2",2025-07-09,2025-07-09 16:30:00,53,"25"
"sr12","w2",2025-07-09,2025-07-09 16:45:00,51,"25"
"sr12","w2",2025-07-09,2025-07-09 17:00:00,55,"25"
"sr12","w1",2025-07-10,2025-07-10 08:30:00,62.3,"35"
"sr12","w1",2025-07-10,2025-07-10 08:45:00,64.3,"35"
"sr12","w1",2025-07-10,2025-07-10 09:00:00,58,"35"
"sr12","w1",2025-07-10,2025-07-10 09:15:00,56.5,"35"
"sr12","w1",2025-07-10,2025-07-10 09:30:00,58,"35"
"sr12","w1",2025-07-10,2025-07-10 09:45:00,57,"35"
"sr12","w1",2025-07-10,2025-07-10 10:00:00,58,"35"
"sr12","w1",2025-07-10,2025-07-10 10:15:00,57,"35"
"sr12","w1",2025-07-10,2025-07-10 10:30:00,55,"35"
"sr12","w1",2025-07-10,2025-07-10 10:45:00,52.5,"35"
"sr12","w1",2025-07-10,2025-07-10 11:00:00,56,"35"
"sr12","w1",2025-07-10,2025-07-10 11:15:00,56,"35"
"sr12","w1",2025-07-10,2025-07-10 11:30:00,58,"35"
"sr12","w1",2025-07-10,2025-07-10 11:45:00,48,"35"
"sr12","w1",2025-07-10,2025-07-10 12:00:00,60.7,"35"
"sr12","w1",2025-07-10,2025-07-10 12:15:00,52,"35"
"sr12","w1",2025-07-10,2025-07-10 12:30:00,54.3,"35"
"sr12","w1",2025-07-10,2025-07-10 12:45:00,60.7,"35"
"sr12","w1",2025-07-10,2025-07-10 13:00:00,56.5,"35"
"sr12","w1",2025-07-10,2025-07-10 13:15:00,56,"35"
"sr12","w1",2025-07-10,2025-07-10 13:30:00,56,"35"
"sr12","w1",2025-07-10,2025-07-10 13:45:00,56.8,"35"
"sr12","w1",2025-07-10,2025-07-10 14:00:00,55,"35"
"sr12","w1",2025-07-10,2025-07-10 14:15:00,59,"35"
"sr12","w1",2025-07-10,2025-07-10 14:30:00,59,"35"
"sr12","w1",2025-07-10,2025-07-10 14:45:00,55,"35"
"sr12","w1",2025-07-10,2025-07-10 15:00:00,56.7,"35"
"sr12","w1",2025-07-10,2025-07-10 15:15:00,58.8,"35"
"sr12","w1",2025-07-10,2025-07-10 15:30:00,58,"35"
"sr12","w1",2025-07-10,2025-07-10 15:45:00,57,"35"
"sr12","w1",2025-07-10,2025-07-10 16:00:00,57,"35"
"sr12","w1",2025-07-10,2025-07-10 16:15:00,57.5,"35"
"sr12","w1",2025-07-10,2025-07-10 16:30:00,61,"35"
"sr12","w2",2025-07-10,2025-07-10 08:15:00,54.5,"35"
"sr12","w2",2025-07-10,2025-07-10 08:30:00,55,"35"
"sr12","w2",2025-07-10,2025-07-10 08:45:00,58,"35"
"sr12","w2",2025-07-10,2025-07-10 09:00:00,50,"35"
"sr12","w2",2025-07-10,2025-07-10 09:15:00,51,"35"
"sr12","w2",2025-07-10,2025-07-10 09:30:00,57,"35"
"sr12","w2",2025-07-10,2025-07-10 09:45:00,57,"35"
"sr12","w2",2025-07-10,2025-07-10 10:00:00,54,"35"
"sr12","w2",2025-07-10,2025-07-10 10:15:00,51,"35"
"sr12","w2",2025-07-10,2025-07-10 10:30:00,54.8,"35"
"sr12","w2",2025-07-10,2025-07-10 10:45:00,48.7,"35"
"sr12","w2",2025-07-10,2025-07-10 11:00:00,55.3,"35"
"sr12","w2",2025-07-10,2025-07-10 11:15:00,52,"35"
"sr12","w2",2025-07-10,2025-07-10 11:30:00,50.5,"35"
"sr12","w2",2025-07-10,2025-07-10 11:45:00,49.7,"35"
"sr12","w2",2025-07-10,2025-07-10 12:00:00,50.8,"35"
"sr12","w2",2025-07-10,2025-07-10 12:15:00,48,"35"
"sr12","w2",2025-07-10,2025-07-10 12:30:00,52,"35"
"sr12","w2",2025-07-10,2025-07-10 12:45:00,57,"35"
"sr12","w2",2025-07-10,2025-07-10 13:00:00,54,"35"
"sr12","w2",2025-07-10,2025-07-10 13:15:00,49,"35"
"sr12","w2",2025-07-10,2025-07-10 13:30:00,56.5,"35"
"sr12","w2",2025-07-10,2025-07-10 13:45:00,48,"35"
"sr12","w2",2025-07-10,2025-07-10 14:00:00,51.7,"35"
"sr12","w2",2025-07-10,2025-07-10 14:15:00,55,"35"
"sr12","w2",2025-07-10,2025-07-10 14:30:00,56,"35"
"sr12","w2",2025-07-10,2025-07-10 14:45:00,49.3,"35"
"sr12","w2",2025-07-10,2025-07-10 15:00:00,49,"35"
"sr12","w2",2025-07-10,2025-07-10 15:15:00,54,"35"
"sr12","w2",2025-07-10,2025-07-10 15:30:00,52,"35"
"sr12","w2",2025-07-10,2025-07-10 15:45:00,54,"35"
"sr12","w2",2025-07-10,2025-07-10 16:00:00,52,"35"
"sr12","w2",2025-07-10,2025-07-10 16:15:00,52,"35"
"sr12","w2",2025-07-10,2025-07-10 16:30:00,53.5,"35"
"sr12","w1",2025-07-11,2025-07-11 08:30:00,59,"20"
"sr12","w1",2025-07-11,2025-07-11 08:45:00,65,"20"
"sr12","w1",2025-07-11,2025-07-11 09:00:00,59,"20"
"sr12","w1",2025-07-11,2025-07-11 09:15:00,60,"20"
"sr12","w1",2025-07-11,2025-07-11 09:30:00,59.3,"20"
"sr12","w1",2025-07-11,2025-07-11 09:45:00,57.3,"20"
"sr12","w1",2025-07-11,2025-07-11 10:00:00,54.5,"20"
"sr12","w1",2025-07-11,2025-07-11 10:15:00,62,"20"
"sr12","w1",2025-07-11,2025-07-11 10:30:00,58,"20"
"sr12","w1",2025-07-11,2025-07-11 10:45:00,57.5,"20"
"sr12","w1",2025-07-11,2025-07-11 11:00:00,58,"20"
"sr12","w1",2025-07-11,2025-07-11 11:15:00,61,"20"
"sr12","w1",2025-07-11,2025-07-11 11:30:00,64,"20"
"sr12","w1",2025-07-11,2025-07-11 11:45:00,56,"20"
"sr12","w1",2025-07-11,2025-07-11 12:00:00,59.3,"20"
"sr12","w2",2025-07-11,2025-07-11 08:45:00,53,"20"
"sr12","w2",2025-07-11,2025-07-11 09:00:00,57,"20"
"sr12","w2",2025-07-11,2025-07-11 09:15:00,51.7,"20"
"sr12","w2",2025-07-11,2025-07-11 09:30:00,52,"20"
"sr12","w2",2025-07-11,2025-07-11 09:45:00,51.5,"20"
"sr12","w2",2025-07-11,2025-07-11 10:00:00,49.5,"20"
"sr12","w2",2025-07-11,2025-07-11 10:15:00,53,"20"
"sr12","w2",2025-07-11,2025-07-11 10:30:00,51.3,"20"
"sr12","w2",2025-07-11,2025-07-11 10:45:00,45.4,"20"
"sr12","w2",2025-07-11,2025-07-11 11:00:00,49.8,"20"
"sr12","w2",2025-07-11,2025-07-11 11:15:00,50.3,"20"
"sr12","w2",2025-07-11,2025-07-11 11:30:00,55,"20"
"sr12","w2",2025-07-11,2025-07-11 11:45:00,50.3,"20"
"sr12","w2",2025-07-11,2025-07-11 12:00:00,49.8,"20"
"us6","w1",2025-07-15,2025-07-15 10:30:00,71,"35"
"us6","w1",2025-07-15,2025-07-15 10:45:00,73.3,"35"
"us6","w1",2025-07-15,2025-07-15 11:00:00,76.5,"35"
"us6","w1",2025-07-15,2025-07-15 11:15:00,73,"35"
"us6","w1",2025-07-15,2025-07-15 11:30:00,76.5,"35"
"us6","w1",2025-07-15,2025-07-15 11:45:00,77.5,"35"
"us6","w1",2025-07-15,2025-07-15 12:00:00,75,"35"
"us6","w1",2025-07-15,2025-07-15 12:15:00,73.5,"35"
"us6","w1",2025-07-15,2025-07-15 12:30:00,69.3,"35"
"us6","w1",2025-07-15,2025-07-15 12:45:00,73.3,"35"
"us6","w1",2025-07-15,2025-07-15 13:00:00,78.7,"35"
"us6","w1",2025-07-15,2025-07-15 13:15:00,77,"35"
"us6","w1",2025-07-15,2025-07-15 13:30:00,73,"35"
"us6","w1",2025-07-15,2025-07-15 13:45:00,73.3,"35"
"us6","w1",2025-07-15,2025-07-15 14:00:00,73.7,"35"
"us6","w1",2025-07-15,2025-07-15 14:15:00,77.3,"35"
"us6","w1",2025-07-15,2025-07-15 14:30:00,76,"35"
"us6","w1",2025-07-15,2025-07-15 14:45:00,78,"35"
"us6","w1",2025-07-15,2025-07-15 15:00:00,76,"35"
"us6","w1",2025-07-15,2025-07-15 15:15:00,80.3,"35"
"us6","w1",2025-07-15,2025-07-15 15:30:00,75.3,"35"
"us6","w1",2025-07-15,2025-07-15 15:45:00,78,"35"
"us6","w1",2025-07-15,2025-07-15 16:00:00,77,"35"
"us6","w1",2025-07-15,2025-07-15 16:15:00,76,"35"
"us6","w1",2025-07-15,2025-07-15 16:30:00,74,"35"
"us6","w1",2025-07-15,2025-07-15 16:45:00,72.3,"35"
"us6","w1",2025-07-15,2025-07-15 17:00:00,70.5,"35"
"us6","w2",2025-07-15,2025-07-15 10:45:00,65,"35"
"us6","w2",2025-07-15,2025-07-15 11:00:00,71,"35"
"us6","w2",2025-07-15,2025-07-15 11:15:00,67,"35"
"us6","w2",2025-07-15,2025-07-15 11:30:00,70,"35"
"us6","w2",2025-07-15,2025-07-15 11:45:00,72.5,"35"
"us6","w2",2025-07-15,2025-07-15 12:00:00,70,"35"
"us6","w2",2025-07-15,2025-07-15 12:15:00,71,"35"
"us6","w2",2025-07-15,2025-07-15 12:30:00,66.4,"35"
"us6","w2",2025-07-15,2025-07-15 12:45:00,70,"35"
"us6","w2",2025-07-15,2025-07-15 13:00:00,72.5,"35"
"us6","w2",2025-07-15,2025-07-15 13:15:00,71,"35"
"us6","w2",2025-07-15,2025-07-15 13:30:00,69.3,"35"
"us6","w2",2025-07-15,2025-07-15 13:45:00,67,"35"
"us6","w2",2025-07-15,2025-07-15 14:00:00,68,"35"
"us6","w2",2025-07-15,2025-07-15 14:15:00,69,"35"
"us6","w2",2025-07-15,2025-07-15 14:30:00,73.4,"35"
"us6","w2",2025-07-15,2025-07-15 14:45:00,72,"35"
"us6","w2",2025-07-15,2025-07-15 15:00:00,71.3,"35"
"us6","w2",2025-07-15,2025-07-15 15:15:00,71,"35"
"us6","w2",2025-07-15,2025-07-15 15:30:00,70,"35"
"us6","w2",2025-07-15,2025-07-15 15:45:00,71.5,"35"
"us6","w2",2025-07-15,2025-07-15 16:00:00,69.3,"35"
"us6","w2",2025-07-15,2025-07-15 16:15:00,69.5,"35"
"us6","w2",2025-07-15,2025-07-15 16:30:00,67,"35"
"us6","w2",2025-07-15,2025-07-15 16:45:00,71.5,"35"
