Authors,Conceptualization,Methodology,Software,Validation,Formal analysis,Investigation,Resources,Data curation,Writing - original draft,Writing - review & editing,Visualization,Supervision,Project administration,Funding acquisition
Gregory Macfarlane,1,1,0,0,0,0,0,0,0,1,1,1,0,1
Grant Schultz,0,1,0,0,0,0,0,0,0,1,0,1,0,1
Tyler Carruth,0,1,1,1,1,1,0,1,1,0,1,0,0,0
Benjamin Hailstone,0,1,0,1,1,1,0,1,1,0,1,0,0,0
