13:26:00:500, j
13:29:07:100, k
13:29:16:500, k
13:29:19:800, k
13:33:16:000, b
13:33:16:600, j
13:33:17:000, b
13:33:17:600, j
13:33:18:000, b
13:33:18:700, j
13:33:18:900, b
13:33:19:400, j
13:33:53:000, j
13:34:27:500, j
13:35:51:300, j
13:36:07:400, j
13:36:28:300, k
13:36:36:500, k
13:36:44:800, k
13:36:48:500, j
13:39:36:200, k
13:41:12:100, k
13:41:16:500, j
13:41:18:500, k
13:41:21:600, b
13:41:22:300, k
13:42:14:800, k
13:42:58:900, j
13:45:25:500, k
13:45:28:500, j
13:47:43:100, j
13:48:11:500, j
13:49:33:300, k
13:50:21:400, b
13:50:22:000, k
13:50:31:400, j
13:50:38:200, j
13:50:42:100, j
13:52:24:300, b
13:52:24:800, k
13:54:00:600, b
13:54:01:200, k
13:56:32:100, a
13:56:52:900, j
13:57:38:100, j
13:58:39:000, k
13:58:42:800, j
13:59:59:300, k
14:00:23:300, j
14:05:39:100, k
14:05:45:400, j
14:05:48:300, j
14:06:09:500, j
14:07:33:000, j
14:07:42:000, j
14:08:03:500, j
14:08:06:200, j
14:13:12:800, j
14:13:32:900, k
14:13:37:800, j
14:14:53:500, j
14:14:59:100, j
14:15:10:500, j
14:15:12:200, k
14:16:59:400, b
14:17:01:000, j
14:17:12:900, k
14:20:06:000, j
14:20:57:400, j
14:21:05:400, k
14:21:09:700, j
14:21:11:400, j
14:21:13:100, j
14:21:15:700, b
14:21:16:400, k
14:21:19:100, b
14:21:19:900, k
14:21:38:100, b
14:21:38:900, k
14:22:10:700, j
14:22:51:800, k
14:22:55:600, k
14:23:00:000, k
14:23:03:700, k
14:23:07:100, j
14:23:11:000, j
14:26:04:300, j
14:26:15:300, j
14:28:00:200, k
14:29:02:100, j
14:29:04:800, j
14:29:07:300, j
14:29:10:300, j
14:29:22:700, b
14:29:23:200, j
14:29:50:700, j
14:29:53:200, j
14:30:01:000, j
14:30:04:000, j
14:32:24:200, j
14:36:09:200, j
14:36:45:500, j
14:36:47:200, j
14:38:03:400, j
14:38:30:000, k
14:39:00:800, k
14:39:06:800, k
14:39:10:700, k
14:39:14:300, j
14:39:16:300, j
14:39:24:100, k
14:40:04:200, b
14:40:04:800, k
14:40:59:800, j
14:41:54:300, b
14:41:55:700, j
14:43:23:000, j
14:43:49:400, b
14:43:49:900, j
14:47:11:600, k
14:47:28:700, k
14:50:12:200, k
14:50:16:600, j
14:50:28:600, j
14:51:11:500, k
14:53:33:100, j
14:53:43:200, j
14:54:57:500, k
14:55:20:000, k
14:55:50:100, k
14:56:46:800, j
14:57:07:000, k
14:57:50:600, k
14:57:55:900, b
14:57:56:400, k
14:59:13:200, j
15:01:27:600, k
15:01:35:200, j
15:01:45:000, j
15:02:14:700, k
15:02:43:300, k
15:02:54:900, k
15:03:38:700, j
15:05:02:100, b
15:05:02:700, k
15:08:24:800, k
15:15:08:600, k
15:15:18:200, b
15:15:18:700, j
15:15:21:600, j
15:17:05:100, k
15:17:15:500, j
15:21:55:400, k
15:26:22:000, j
15:27:43:000, j
15:28:46:300, j
15:32:20:700, k
15:33:32:900, k
15:34:20:400, j
15:34:24:400, b
15:34:24:900, j
15:36:35:400, j
15:37:10:700, j
15:37:16:700, k
15:37:55:300, j
15:38:01:400, j
15:39:33:700, k
15:39:50:300, k
15:41:19:600, j
15:44:20:100, k
15:45:15:800, b
