13:35:20:328, j
13:35:20:328, b
13:35:39:330, j
13:36:08:330, j
13:36:30:582, j
13:36:32:080, j
13:36:33:580, j
13:36:54:580, j
13:36:57:580, j
13:36:59:330, j
13:37:46:830, j
13:37:48:578, j
13:37:48:578, b
13:38:28:578, j
13:38:31:580, j
13:38:31:580, b
13:38:35:580, j
13:38:37:080, j
13:38:40:078, j
13:38:51:328, j
13:39:23:078, j
13:39:55:580, j
13:40:01:580, j
13:40:31:580, r
13:41:11:078, j
13:41:11:078, b
13:41:14:330, j
13:41:14:330, b
13:41:39:330, j
13:41:39:330, b
13:41:54:830, j
13:42:02:328, j
13:42:15:330, j
13:42:19:830, j
13:42:27:580, j
13:42:31:580, j
13:43:06:330, j
13:43:06:330, b
13:43:09:080, j
13:43:09:080, b
13:43:11:330, j
13:43:11:330, b
13:43:13:330, j
13:43:13:330, b
13:43:16:830, j
13:43:16:830, b
13:43:19:330, j
13:43:19:330, b
13:43:21:330, j
13:43:21:330, b
13:44:04:580, r
13:44:43:578, j
13:45:11:828, j
13:45:16:580, j
13:45:18:580, j
13:45:20:330, j
13:45:24:578, j
13:45:24:578, b
13:45:37:330, j
13:46:27:580, j
13:48:26:580, j
13:48:29:580, j
13:48:32:828, j
13:48:39:338, j
13:49:55:828, j
13:50:20:330, j
13:50:55:328, j
13:50:57:330, j
13:51:00:830, j
13:51:15:330, j
13:51:59:580, j
13:52:02:080, j
13:52:02:080, b
13:52:22:830, j
13:52:24:080, j
13:52:41:080, j
13:53:13:328, j
13:55:14:580, j
13:56:09:830, j
13:56:12:330, j
13:56:28:828, j
13:56:34:330, j
13:56:37:830, j
13:56:39:830, j
13:56:41:830, j
13:56:45:080, j
13:57:23:080, j
13:57:24:080, j
13:57:28:580, j
13:57:56:830, j
13:58:02:330, j
13:59:09:578, j
13:59:13:578, j
13:59:48:580, j
14:00:27:796, a
14:01:08:798, j
14:01:14:796, j
14:01:31:546, j
14:01:33:546, j
14:01:41:546, j
14:02:34:046, j
14:02:34:046, j
14:02:34:046, b
14:02:44:296, j
14:02:44:296, b
14:02:58:296, j
14:03:01:296, j
14:03:04:044, j
14:03:04:044, b
14:04:13:296, j
14:04:15:546, j
